WKT,uniqueid,start_nid,end_nid,oneway,osmid,length,type,lanes,maxspeed,capacity,fft
"LINESTRING (-122.2542718 37.8674857,-122.2541838 37.8674907,-122.2541494 37.8674925,-122.2526228 37.8676824,-122.2522866 37.8677242,-122.2522377 37.8677304,-122.2520961 37.8677476)","947","1334","341","0","698994091",193.23,residential,"2","25","1800",17.289756648
"LINESTRING (-122.2249794 37.8605847,-122.2251243 37.8607029)","948","1327","342","0","331604363",18.291,residential,"1","30","900",1.363862318
"LINESTRING (-122.2249794 37.8605847,-122.2249333 37.8605323,-122.224783 37.86027,-122.224781 37.8599,-122.224719 37.859528,-122.224731 37.859467,-122.224772 37.859395,-122.2249634 37.8591647)","949","640","342","0","6366887",168.241,residential,"1","30","900",12.5448340846667
"LINESTRING (-122.2249794 37.8605847,-122.22445 37.860777,-122.224301 37.860859,-122.224236 37.860919,-122.224182 37.861016,-122.224159 37.861104,-122.224093 37.861576,-122.224036 37.861741,-122.223868 37.862074,-122.2237107 37.8622529,-122.223671 37.862298,-122.2236441 37.8623811,-122.223564 37.862629,-122.223381 37.862843,-122.223356 37.862954,-122.223405 37.863346,-122.223407 37.863597,-122.223372 37.863717,-122.223319 37.863784,-122.22321 37.863846,-122.222995 37.863901,-122.222272 37.864001,-122.222102 37.864046,-122.222009 37.864108,-122.2219851 37.8641349)","950","1349","342","0","6372120",539.224,residential,"1","30","900",40.2070578186667
"LINESTRING (-122.2668156 37.8576274,-122.2667066 37.857641,-122.2666914 37.857643,-122.264044 37.8579878,-122.2639684 37.8579974)","951","344","343","0","23226443",253.326,residential,"1","25","900",22.6670024976
"LINESTRING (-122.2668156 37.8576274,-122.2668079 37.8575604,-122.2667954 37.8574514,-122.2667702 37.8572314,-122.2667564 37.8571112)","952","1511","343","0","416111322",57.634,tertiary,"2","25","1800",5.1569519984
"LINESTRING (-122.2668156 37.8576274,-122.2668237 37.8576982,-122.2668434 37.8578696,-122.2668591 37.8580065,-122.2669038 37.8583968,-122.2669124 37.8584697,-122.2669199 37.858533)","953","172","343","0","575429935",101.114,tertiary,"2","25","1800",9.0474380464
"LINESTRING (-122.2639684 37.8579974,-122.2638843 37.858009,-122.2618145 37.8582831,-122.261728 37.8582947)","954","345","344","0","23226443",199.449,residential,"1","25","900",17.8462178424
"LINESTRING (-122.2639684 37.8579974,-122.264044 37.8579878,-122.2666914 37.857643,-122.2667066 37.857641,-122.2668156 37.8576274)","955","343","344","0","23226443",253.326,residential,"1","25","900",22.6670024976
"LINESTRING (-122.2639684 37.8579974,-122.2639532 37.8579359,-122.2637999 37.8572042,-122.263794 37.8571759,-122.2637889 37.8571477)","956","1191","344","0","164659462",95.791,residential,"1","25","900",8.5711487816
"LINESTRING (-122.2639684 37.8579974,-122.2639849 37.8580638,-122.2641288 37.8588127,-122.2641353 37.8588464)","957","1196","344","0","164659462",95.541,residential,"1","25","900",8.5487793816
"LINESTRING (-122.261728 37.8582947,-122.2616262 37.8583082,-122.2607603 37.8584206,-122.2601598 37.8584987)","958","1350","345","0","23226443",139.531,residential,"1","25","900",12.4848990056
"LINESTRING (-122.261728 37.8582947,-122.2618145 37.8582831,-122.2638843 37.858009,-122.2639684 37.8579974)","959","344","345","0","23226443",199.449,residential,"1","25","900",17.8462178424
"LINESTRING (-122.261728 37.8582947,-122.2617139 37.8582215,-122.2615661 37.857494,-122.2615618 37.857479,-122.2615532 37.8574487)","960","1195","345","0","164659450",95.324,residential,"1","25","900",8.5293627424
"LINESTRING (-122.261728 37.8582947,-122.2617415 37.8583646,-122.2618921 37.8590984,-122.2618947 37.859112,-122.2619003 37.8591413)","961","1200","345","0","164659450",95.345,residential,"1","25","900",8.531241772
"LINESTRING (-122.2593622 37.858603,-122.2592146 37.8586212,-122.2591993 37.8586232,-122.2584888 37.8587173,-122.257906 37.8587918,-122.2577173 37.8588109,-122.2570567 37.8588473,-122.2569494 37.8588532)","962","347","346","0","23226443",213.835,residential,"1","25","900",19.133442596
"LINESTRING (-122.2593622 37.858603,-122.2595011 37.8585847,-122.2595335 37.8585803,-122.2598047 37.8585435,-122.2598515 37.8585369,-122.2601598 37.8584987)","963","1350","346","0","23226443",70.978,residential,"1","25","900",6.3509410928
"LINESTRING (-122.2593622 37.858603,-122.2593533 37.8586662,-122.2592909 37.8591099,-122.2592574 37.8593129,-122.2592331 37.8594728,-122.2592254 37.8595359)","964","173","346","0","574299582",104.431,secondary,"4","25","2401",9.3442352456
"LINESTRING (-122.2593622 37.858603,-122.2593709 37.8585402,-122.2593872 37.8584229,-122.2594528 37.8579521,-122.2594769 37.8577795,-122.2594825 37.8577393,-122.2594921 37.8576706)","965","440","346","0","574299582",104.303,secondary,"4","25","2401",9.3327821128
"LINESTRING (-122.2569494 37.8588532,-122.2568953 37.8582839,-122.2568937 37.8581748,-122.2569052 37.8580891,-122.2569179 37.8580682,-122.2569599 37.857999)","966","371","347","0","6344566",96.307,residential,"1","25","900",8.6173192232
"LINESTRING (-122.2569494 37.8588532,-122.2570334 37.859695,-122.2570407 37.8597622)","967","174","347","0","6344566",101.394,residential,"1","25","900",9.0724917744
"LINESTRING (-122.2569494 37.8588532,-122.2570567 37.8588473,-122.2577173 37.8588109,-122.257906 37.8587918,-122.2584888 37.8587173,-122.2591993 37.8586232,-122.2592146 37.8586212,-122.2593622 37.858603)","968","346","347","0","23226443",213.835,residential,"1","25","900",19.133442596
"LINESTRING (-122.2040756 37.8447871,-122.2041669 37.845441,-122.2040455 37.8456936,-122.2039435 37.8460389)","969","1408","348","0","6342071",142.62,residential,"1","30","900",10.63441276
"LINESTRING (-122.2040756 37.8447871,-122.2041615 37.8447024,-122.2041795 37.8446145,-122.2041767 37.8445075,-122.2042167 37.8444027,-122.204311 37.8443391,-122.2044673 37.8441496,-122.204562 37.8439399,-122.2046279 37.8438509,-122.2047105 37.8438202,-122.2048508 37.8438266,-122.2050748 37.8438859,-122.2053336 37.8440204,-122.2056233 37.844193,-122.2057963 37.8442131,-122.2059639 37.8441845,-122.206153 37.8440786,-122.2062871 37.8440712,-122.2063753 37.8441062,-122.2064279 37.844158,-122.2064487 37.8442361,-122.2064467 37.8442939,-122.206444 37.8443747,-122.2064319 37.8445092,-122.2064078 37.8445685,-122.2063179 37.8446278,-122.2060135 37.844757,-122.2059263 37.8448258,-122.2058526 37.8449476,-122.2057547 37.8451859,-122.2057158 37.8454544,-122.2056923 37.8455809,-122.2056319 37.8456498,-122.2054945 37.8457393,-122.2053577 37.8458573)","970","567","348","0","6364746",524.633,residential,"1","30","900",39.1190847673333
"LINESTRING (-122.2040756 37.8447871,-122.2038621 37.8446955,-122.2036617 37.8445253,-122.2034656 37.8443096,-122.2033671 37.8442117,-122.2032357 37.8442134,-122.2029702 37.8443303,-122.2026062 37.844464,-122.2025236 37.8442509,-122.2026258 37.8440957,-122.2026315 37.8440081,-122.2025056 37.8439014,-122.2023125 37.8438648,-122.202074 37.8437787,-122.2018997 37.8436972,-122.2017122 37.8435352,-122.2015773 37.8433742)","971","912","348","0","6364738",338.416,residential,"1","30","900",25.2338762346667
